latitude,longitude,confidence
-33.457,-53.0136,0.0
-33.3869,-52.9409,0.0
-31.807,-52.8473,44.0
-31.6756,-53.4375,54.0
-31.4253,-53.8451,50.0
-31.2503,-52.0444,63.0
-31.2101,-53.5321,65.0
-31.1021,-53.4468,73.0
-31.0986,-51.9691,61.0
-31.0899,-53.7203,60.0
-31.091,-53.2879,55.0
-31.0458,-50.7978,58.0
-30.9183,-52.8515,46.0
-30.8584,-52.9082,50.0
-30.7989,-52.826,57.0
-30.7442,-51.8805,51.0
-30.6408,-52.3355,18.0
-30.6344,-52.7464,46.0
-30.6343,-52.7418,66.0
-30.63295,-52.7292,66.0
-30.6313,-52.3332,51.0
-30.6244,-52.7421,79.0
-30.623,-52.7314,85.0
-30.4981,-52.6365,51.0
-30.4966,-52.6254,86.0
-30.4427,-53.8412,60.0
-30.4289,-53.4479,62.0
-30.4274,-53.436,66.0
-30.4165,-57.2124,59.0
-30.4125,-57.2163,18.0
-30.4075,-51.842,80.0
-30.3158,-50.9408,100.0
-30.3141,-50.9557,100.0
-30.2632,-57.1575,65.0
-30.2279,-51.6748,91.0
-30.2293,-51.6642,73.0
-30.1094,-50.1986,0.0
-30.011,-51.3197,21.0
-29.9922,-56.7892,44.0
-29.9363,-56.6492,16.0
-29.940533333333335,-50.91936666666667,42.333333333333336
-29.9259,-53.8424,51.0
-29.8938,-57.1281,31.0
-29.8766,-51.836,47.0
-29.8098,-51.62065,57.5
-29.8026,-51.4453,61.0
-29.7873,-52.408,30.0
-29.7719,-51.6613,64.0
-29.7657,-50.0395,0.0
-29.7423,-55.1101,49.0
-29.7325,-54.2878,33.0
-29.7175,-52.4436,52.0
-29.6422,-51.8518,47.0
-29.6275,-51.6699,17.0
-29.61795,-56.728300000000004,55.0
-29.6153,-52.2,42.0
-29.6208,-50.8068,61.0
-29.5885,-51.09915,60.0
-29.5867,-50.9002,74.0
-29.5827,-51.0979,36.0
-29.5835,-51.0353,48.0
-29.5567,-55.1281,34.0
-29.5551,-51.6497,48.0
-29.5574,-50.4238,76.0
-29.5428,-51.1076,81.0
-29.5276,-50.8848,51.0
-29.5201,-50.5174,48.0
-29.5149,-51.0407,76.0
-29.4941,-50.9129,74.0
-29.4636,-56.097,55.0
-29.4227,-56.8637,74.0
-29.4182,-51.4949,61.0
-29.4133,-56.2223,21.0
-29.4116,-52.365,36.0
-29.3967,-51.7329,71.0
-29.393050000000002,-50.269,78.5
-29.3915,-50.2576,70.0
-29.3613,-49.7778,74.0
-29.3458,-50.4186,81.0
-29.3443,-50.4288,98.0
-29.326,-50.9386,80.0
-29.2266,-51.3496,23.0
-29.2259,-51.33886666666667,39.333333333333336
-29.2249,-51.3375,37.0
-29.1868,-54.8678,38.0
-29.1909,-54.8605,36.0
-29.1693,-51.8756,53.0
-29.1477,-56.2815,42.0
-29.1178,-51.1109,42.0
-29.0727,-56.501,29.0
-29.0525,-51.1867,59.0
-29.0292,-51.1772,47.0
-29.0257,-49.523,58.0
-28.9866,-56.2821,53.0
-28.9768,-56.5531,65.0
-28.9772,-56.5408,55.0
-28.9762,-51.0643,29.0
-28.9722,-51.063,47.0
-28.9558,-55.9256,37.0
-28.8594,-52.1331,20.0
-28.8529,-51.8954,42.0
-28.8478,-51.8884,48.0
-28.7676,-53.775,73.0
-28.7679,-50.0267,79.0
-28.7451,-55.2993,43.0
-28.7312,-53.5202,27.0
-28.6805,-54.3064,55.0
-28.6754,-49.4207,67.0
-28.6508,-53.43,34.0
-28.6438,-49.1341,23.0
-28.5115,-50.5597,0.0
-28.4954,-56.1649,50.0
-28.398,-53.9262,62.0
-28.3973,-53.919,61.0
-28.3278,-49.1759,58.0
-28.2878,-54.7132,55.0
-28.259,-51.2063,33.0
-28.1823,-48.9172,61.0
-28.0745,-52.0147,33.0
-27.9832,-55.3989,57.0
-27.9701,-49.2712,58.0
-27.9577,-50.2754,82.0
-27.958266666666663,-50.26186666666666,67.66666666666667
-27.9483,-52.9247,58.0
-27.9507,-50.2641,70.0
-27.95355,-50.2538,66.5
-27.9432,-55.4772,70.0
-27.9099,-51.0144,55.0
-27.8985,-51.015,71.0
-27.9024,-51.0079,77.0
-27.8876,-52.2329,35.0
-27.8715,-55.4722,46.0
-27.8577,-50.4165,68.0
-27.8219,-51.2395,71.0
-27.7808,-54.2328,29.0
-27.7768,-52.4094,49.0
-27.7809,-51.1803,45.0
-27.7812,-50.9283,79.0
-27.7792,-50.9079,64.0
-27.7688,-50.93,100.0
-27.7668,-50.9094,90.0
-27.7706,-50.377700000000004,81.5
-27.7677,-50.3637,75.0
-27.7546,-49.3827,27.0
-27.7408,-49.7362,82.0
-27.7162,-49.5209,57.0
-27.7058,-50.1002,74.0
-27.7097,-50.08925,75.5
-27.7114,-50.0847,82.0
-27.6975,-50.6234,74.0
-27.6955,-50.6038,38.0
-27.7043,-50.0875,98.0
-27.7037,-50.0816,76.0
-27.6938,-50.1493,87.0
-27.6785,-51.4536,42.0
