Data,latitude,longitude,confidence
2020-01-26,-15.7893,-47.9258,84.0
2021-04-01,-10.1908,-48.3019,69.0
2020-03-04,-5.8372,-35.2081,26.0
2019-09-13,0.035,-51.0888,86.0
2020-11-28,-15.5593,-56.063,77.0
2024-01-07,-20.2708,-40.3058,0.0
2024-03-29,-22.9883,-43.1906,0.0
2020-01-12,-15.7893,-47.9258,84.0
2023-01-04,-30.0536,-51.1747,82.0
2019-12-04,-7.1654,-34.8156,49.0
2019-05-30,-1.4112,-48.4395,27.0
2019-04-11,-8.0593,-34.9592,39.0
2021-10-03,-27.6025,-48.6201,63.0
2020-09-24,-10.9524,-37.0543,0.0
2019-03-31,-3.1036,-60.0156,37.0
2019-06-28,-10.1907,-48.3018,69.0
2021-05-08,-2.5267,-44.2136,68.0
2022-03-14,-25.4486,-49.2306,79.0
2019-01-23,-27.6025,-48.6201,63.0
2019-05-20,-8.7937,-63.8459,72.0
2022-07-02,-20.2708,-40.3058,0.0
2021-05-12,-30.0536,-51.1747,82.0
2024-07-18,-10.1478,-48.3144,75.0
2020-01-27,-9.9578,-68.1653,71.0
2019-04-05,-9.5512,-35.7702,64.0
2022-02-14,-15.7894,-47.9258,84.0
2020-01-24,-15.7893,-47.9258,84.0
2020-03-15,-22.9883,-43.1906,0.0
2020-12-20,-10.1907,-48.3018,69.0
2022-01-13,-10.1478,-48.3144,75.0
2022-10-15,-5.8372,-35.2081,26.0
2020-06-25,-10.1907,-48.3018,69.0
2020-07-27,-19.98,-43.9586,44.0
2024-05-27,-3.1033,-60.0164,37.0
2019-05-27,-9.5512,-35.7702,64.0
2023-02-06,2.8169,-60.6908,0.0
2020-11-17,-1.4112,-48.4395,27.0
2019-09-19,-9.9578,-68.1652,71.0
2023-03-07,-22.9883,-43.1906,0.0
2021-03-21,-22.9883,-43.1906,0.0
2019-03-20,-8.7937,-63.8459,72.0
2020-12-27,-15.5593,-56.063,77.0
2020-07-17,-1.4112,-48.4395,27.0
2022-07-20,-3.8158,-38.5378,80.0
2021-03-26,0.035,-51.0889,86.0
2021-06-14,-20.4472,-54.7226,50.0
2020-10-25,-25.4487,-49.2306,79.0
2024-01-27,-9.9592,-67.869,64.0
2022-09-21,-10.1478,-48.3144,75.0
2024-02-08,-9.5511,-35.7703,64.0
2024-07-24,2.8169,-60.6908,0.0
2020-01-11,-20.2708,-40.3058,0.0
2022-03-03,-1.4112,-48.4395,27.0
2021-12-26,-5.8372,-35.2081,26.0
2022-12-01,-10.1478,-48.3144,75.0
2019-11-11,-15.7893,-47.9258,84.0
2020-05-03,-5.0347,-42.8014,62.0
2023-07-21,-20.4472,-54.7226,50.0
2020-07-15,-5.8372,-35.2081,26.0
2019-01-18,-8.0593,-34.9592,39.0
2021-03-16,-5.0347,-42.8014,62.0
2022-12-06,-5.0347,-42.8014,62.0
2023-07-21,-25.4486,-49.2306,79.0
2021-09-02,-15.5593,-56.063,77.0
2021-06-18,-3.8158,-38.5378,80.0
2021-04-27,0.035,-51.0889,86.0
2019-02-02,-9.5512,-35.7702,64.0
2021-10-18,-25.4486,-49.2306,79.0
2023-03-14,-16.6428,-49.2203,78.0
2022-06-29,-1.4112,-48.4395,27.0
2024-04-29,-15.7894,-47.9258,84.0
2019-04-18,-20.2711,-40.3061,0.0
2019-09-24,-22.9883,-43.1906,0.0
2019-01-08,-19.98,-43.9587,44.0
2020-01-22,-9.5511,-35.7703,64.0
2022-04-30,-5.8372,-35.2081,26.0
2021-09-30,-9.5511,-35.7703,64.0
2021-07-12,-22.9883,-43.1906,0.0
2022-02-05,-3.1033,-60.0164,37.0
2023-11-15,-7.1653,-34.8156,49.0
2022-11-09,-9.5511,-35.7703,64.0
2021-10-07,-1.4112,-48.4395,27.0
2019-04-02,-8.0593,-34.9592,39.0
2019-10-07,0.035,-51.0888,86.0
2024-08-23,-3.1033,-60.0164,37.0
2021-12-11,-20.4472,-54.7226,50.0
2019-11-13,-5.0348,-42.8013,62.0
2019-07-29,2.8169,-60.6908,0.0
2024-06-05,-20.2708,-40.3058,0.0
2021-04-01,-30.0536,-51.1747,82.0
2023-03-29,-10.9525,-37.0544,0.0
2020-12-15,-22.9883,-43.1906,0.0
2024-03-07,-9.9592,-67.869,64.0
2024-01-16,-8.7936,-63.8458,72.0
2021-02-16,-15.7894,-47.9258,84.0
2019-02-23,-2.5268,-44.2136,68.0
2019-10-14,-25.4487,-49.2306,79.0
2022-12-31,-5.0347,-42.8014,62.0
2019-02-17,-19.98,-43.9587,44.0
2024-05-10,-22.3581,-49.0289,32.0
2021-05-09,-10.9525,-37.0544,0.0
2022-01-05,-22.9883,-43.1906,0.0
2024-01-26,-3.8158,-38.5378,80.0
2024-05-01,-22.9883,-43.1906,0.0
2022-11-04,-27.6025,-48.6201,63.0
2020-10-05,-15.7893,-47.9258,84.0
2021-02-03,-15.5593,-56.063,77.0
2021-05-27,-15.7894,-47.9258,84.0
2021-08-04,-3.8158,-38.5378,80.0
2021-12-09,-20.4472,-54.7226,50.0
2023-05-08,-10.9525,-37.0544,0.0
2022-02-05,-16.6428,-49.2202,78.0
2023-04-28,2.8169,-60.6908,0.0
2022-10-27,-3.1033,-60.0164,37.0
2021-06-14,-5.0347,-42.8014,62.0
2019-11-21,-19.98,-43.9587,44.0
2023-05-22,-1.4112,-48.4395,27.0
2021-07-30,-30.0536,-51.1747,82.0
2020-06-15,-3.1036,-60.0156,37.0
2021-03-28,-3.1033,-60.0164,37.0
